;;;Staffen importert aus den Links auf der Seite volleyball.nrw
202145;2017;Bezirksklasse 5 Frauen;
202167;2017;Bezirksklasse 6 Frauen;
202148;2017;Bezirksklasse 7 Frauen;
202149;2017;Bezirksklasse 15 Frauen;
201867;2017;NRW-Liga mU20;
201891;2017;Oberliga 1 mU20;
201892;2017;Oberliga 2 mU20;
201898;2017;Oberliga 3 mU20;
201894;2017;Oberliga 4 mU20;
201895;2017;Oberliga 5 mU20;
201896;2017;Oberliga 6 mU20;
201869;2017;NRW-Liga mU18;
201984;2017;Oberliga 1 mU18;
201985;2017;Oberliga 2 mU18;
201979;2017;Oberliga 3 mU18;
201995;2017;Oberliga 4 mU18;
201983;2017;Oberliga 5 mU18;
201996;2017;Oberliga 6 mU18;
201940;2017;NRW-Liga mU16;
202002;2017;Oberliga 1 mU16;
201963;2017;Oberliga 2 mU16;
202003;2017;Oberliga 3 mU16;
202004;2017;Oberliga 4 mU16;
202005;2017;Oberliga 5 mU16;
201950;2017;Oberliga 1 U14;
201953;2017;Oberliga 2 U14;
201937;2017;Oberliga 3 U14;
201942;2017;Oberliga 4 U14;
201955;2017;Oberliga 6 U14;
201956;2017;Oberliga 7 U14;
201960;2017;Oberliga 8 U14;
201961;2017;Oberliga 9 U14;
201829;2017;Oberliga 10 U14;
201954;2017;Oberliga 5 U14;
201886;2017;Oberliga 1 U13;
201885;2017;Oberliga 2 U13;
201884;2017;Oberliga 3 U13;
201883;2017;Oberliga 4 U13;
201882;2017;Oberliga 5 U13;
201880;2017;Oberliga 7 U13;
201879;2017;Oberliga 8 U13;
201877;2017;Oberliga 9 U13;
201825;2017;Oberliga 10 U13;
201844;2017;Bezirksliga 8 U14;
201918;2017;Bezirksliga 9 U14;
201919;2017;Bezirksliga 10 U14;
201926;2017;Bezirksliga 11 U14;
201929;2017;Bezirksliga 12 U14;
201930;2017;Bezirksliga 13 U14;
202173;2017;Bezirksliga 14 U14;
202174;2017;Bezirksliga 15 U14;
202073;2017;Bezirksliga 4 U14;
202075;2017;Bezirksliga 5 U14;
202077;2017;Bezirksliga 6 U14;
202204;2017;Bezirksliga 7 U14;
202112;2017;Bezirksliga 16 U14;
202083;2017;Bezirksliga 17 U14;
202114;2017;Bezirksliga 18 U14;
202170;2017;Bezirksliga 1 U14;
202187;2017;Bezirksliga 2 U14;
202191;2017;Bezirksliga 3 U14;
201840;2017;NRW-Liga wU20;
201902;2017;Oberliga 1 wU20;
201903;2017;Oberliga 2 wU20;
201909;2017;Oberliga 3 wU20;
201910;2017;Oberliga 4 wU20;
201923;2017;Oberliga 5 wU20;
201934;2017;Oberliga 6 wU20;
201870;2017;NRW-Liga wU18;
201907;2017;Oberliga 6 wU18;
201978;2017;Oberliga 1 wU18;
201982;2017;Oberliga 2 wU18;
201965;2017;Oberliga 3 wU18;
201964;2017;Oberliga 4 wU18;
201981;2017;Oberliga 5 wU18;
201941;2017;NRW-Liga wU16;
202006;2017;Oberliga 1 wU16;
202008;2017;Oberliga 2 wU16;
201998;2017;Oberliga 3 wU16;
201999;2017;Oberliga 4 wU16;
202009;2017;Oberliga 5 wU16;
201991;2017;Oberliga 6 wU16;
201837;2017;Bezirksliga 8 wU20;
201868;2017;Bezirksliga 9 wU20;
201911;2017;Bezirksliga 10 wU20;
201872;2017;Bezirksliga 9 wU18;
201912;2017;Bezirksliga 10 wU18;
201913;2017;Bezirksliga 11 wU18;
201914;2017;Bezirksliga 12 wU18;
201873;2017;Bezirksliga 10 wU16;
201915;2017;Bezirksliga 11 wU16;
201843;2017;Bezirksliga 12 wU16;
201916;2017;Bezirksliga 13 wU16;
201917;2017;Bezirksliga 14 wU16;
202184;2017;Bezirksliga 11 wU20;
202017;2017;Bezirksliga 12 wU20;
202180;2017;Bezirksliga 13 wU18;
202181;2017;Bezirksliga 14 wU18;
202019;2017;Bezirksliga 15 wU16;
202020;2017;Bezirksliga 16 wU16;
202022;2017;Bezirksliga 17 wU16;
202050;2017;Bezirksliga 4 wU20;
202051;2017;Bezirksliga 5 wU20;
202096;2017;Bezirksliga 6 wU20;
202203;2017;Bezirksliga 7 wU20;
202052;2017;Bezirksliga 5 wU18;
202053;2017;Bezirksliga 6 wU18;
202054;2017;Bezirksliga 7 wU18;
202056;2017;Bezirksliga 8 wU18;
202060;2017;Bezirksliga 6 wU16;
202062;2017;Bezirksliga 7 wU16;
202206;2017;Bezirksliga 8 wU16;
202069;2017;Bezirksliga 9 wU16;
202079;2017;Bezirksliga 13 wU20;
202080;2017;Bezirksliga 14 wU20;
202081;2017;Bezirksliga 16 wU18;
202082;2017;Bezirksliga 17 wU18;
202108;2017;Bezirksliga 18 wU18;
202113;2017;Bezirksliga 19 wU18;
202118;2017;Bezirksliga 21 wU16;
202120;2017;Bezirksliga 23 wU16;
202117;2017;Bezirksliga 19 wU16;
202090;2017;Bezirksliga 20 wU16;
202123;2017;Bezirksliga 22 wU16;
202153;2017;Bezirksliga 1 wU20;
202139;2017;Bezirksliga 2 wU20;
202147;2017;Bezirksliga 3 wU20;
202159;2017;Bezirksliga 1 wU18;
202160;2017;Bezirksliga 2 wU18;
202158;2017;Bezirksliga 3 wU18;
202161;2017;Bezirksliga 4 wU18;
202162;2017;Bezirksliga 1 wU16;
202164;2017;Bezirksliga 2 wU16;
202166;2017;Bezirksliga 3 wU16;
202168;2017;Bezirksliga 4 wU16;
202169;2017;Bezirksliga 5 wU16;
201796;2017;Regionalliga West Männer;
201798;2017;Oberliga 1 Männer;
201800;2017;Oberliga 2 Männer;
201828;2017;Verbandsliga 1 Männer;
201808;2017;Verbandsliga 2 Männer;
201775;2017;Verbandsliga 3 Männer;
201786;2017;Verbandsliga 4 Männer;
202023;2017;Landesliga 8 Männer;
202200;2017;Bezirksliga 12 Männer;
202027;2017;Bezirksliga 15 Männer;
202029;2017;Bezirksliga 16 Männer;
201816;2017;Landesliga 3 Männer;
201817;2017;Landesliga 4 Männer;
201855;2017;Bezirksliga 5 Männer;
201856;2017;Bezirksliga 6 Männer;
201857;2017;Bezirksliga 7 Männer;
201858;2017;Bezirksliga 8 Männer;
202032;2017;Landesliga 5 Männer;
202034;2017;Landesliga 6 Männer;
202093;2017;Bezirksliga 9 Männer;
202094;2017;Bezirksliga 10 Männer;
202095;2017;Bezirksliga 11 Männer;
201779;2017;Landesliga 7 Männer;
201925;2017;Bezirksliga 13 Männer;
201928;2017;Bezirksliga 14 Männer;
201947;2017;Landesliga 1 Männer;
201949;2017;Landesliga 2 Männer;
202059;2017;Bezirksliga 1 Männer;
202061;2017;Bezirksliga 2 Männer;
202072;2017;Bezirksliga 3 Männer;
202065;2017;Bezirksliga 4 Männer;
